-- Testing: 210 tests, 12 workers --
  LLVM :: tools/llvm-objcopy/ELF/parent-loop-check.test
  LLVM :: tools/llvm-objcopy/ELF/partitions.test
  LLVM :: tools/llvm-objcopy/ELF/prefix-alloc-sections-dynrelocsec.test
  LLVM :: tools/llvm-objcopy/ELF/prefix-alloc-sections.test
  LLVM :: tools/llvm-objcopy/ELF/prefix-symbols.test
  LLVM :: tools/llvm-objcopy/ELF/preserve-segment-contents-ehdr-phdrs.test
  LLVM :: tools/llvm-objcopy/ELF/preserve-segment-contents.test
  LLVM :: tools/llvm-objcopy/ELF/program-headers.test
  LLVM :: tools/llvm-objcopy/ELF/redefine-symbol.test
  LLVM :: tools/llvm-objcopy/ELF/regex.test
  LLVM :: tools/llvm-objcopy/ELF/reloc-error-remove-symtab.test
  LLVM :: tools/llvm-objcopy/ELF/relocatable-phdr.test
  LLVM :: tools/llvm-objcopy/ELF/relocations-no-symtab.test
  LLVM :: tools/llvm-objcopy/ELF/remove-linked-section.test
